Name,Date,Region,Strain
EPI_ISL_1139103,2020.8333333333333,Europe,A/peregrine_falcon/Netherlands/20017773-002/2020
EPI_ISL_1139104,2020.860655737705,Europe,A/wild_goose/Netherlands/20017816-001/2020
EPI_ISL_1139105,2020.8169398907103,Europe,A/greylag_goose/Netherlands/20016523-001/2020
EPI_ISL_1139106,2020.8360655737704,Europe,A/eurasian_curlew/Netherlands/20016896-019/2020
EPI_ISL_1139107,2020.863387978142,Europe,A/muscovy_duck/Netherlands/20018067-001/2020
EPI_ISL_1139108,2020.896174863388,Europe,A/mute_swan/Netherlands/20018754-004/2020
EPI_ISL_1139109,2020.896174863388,Europe,A/mute_swan/Netherlands/20018754-006/2020
EPI_ISL_1139110,2020.8989071038252,Europe,A/swan/Netherlands/20018830-004/2020
EPI_ISL_1139112,2020.844262295082,Europe,A/greylag_goose/Netherlands/20017386-001/2020
EPI_ISL_1139113,2020.8579234972678,Europe,A/wild_goose/Netherlands/20017819-001/2020
EPI_ISL_1139159,2020.8142076502731,Europe,A/greylag_goose/Netherlands/20017058-002/2020
EPI_ISL_1139160,2020.8688524590164,Europe,A/pink-footed_goose/Netherlands/20018068-001/2020
EPI_ISL_1139161,2020.8715846994535,Europe,A/greylag_goose/Netherlands/20018070-002/2020
EPI_ISL_1139162,2020.8743169398906,Europe,A/black_swan/Netherlands/20018185-001/2020
EPI_ISL_1139163,2020.8743169398906,Europe,A/common_buzzard/Netherlands/20018339-002/2020
EPI_ISL_1139164,2020.8907103825136,Europe,A/northern_goshawk/Netherlands/20018560-002/2020
EPI_ISL_1139165,2020.9016393442623,Europe,A/common_snipe/Netherlands/20018931-003/2020
EPI_ISL_1139166,2020.896174863388,Europe,A/wild_goose/Netherlands/20018735-002/2020
EPI_ISL_1139167,2020.896174863388,Europe,A/barnacle_goose/Netherlands/20018737-002/2020
EPI_ISL_1139168,2020.896174863388,Europe,A/mute_swan/Netherlands/20018738-001/2020
EPI_ISL_1139169,2020.8989071038252,Europe,A/peregrine_falcon/Netherlands/20018821-002/2020
EPI_ISL_1139170,2020.8989071038252,Europe,A/wild_goose/Netherlands/20018822-002/2020
EPI_ISL_1139171,2020.8989071038252,Europe,A/mute_swan/Netherlands/20018824-002/2020
EPI_ISL_1139172,2020.9016393442623,Europe,A/mute_swan/Netherlands/20018923-001/2020
EPI_ISL_1139173,2020.9125683060108,Europe,A/mute_swan/Netherlands/20019137-005/2020
EPI_ISL_11504587,2021.9150684931508,Asia,A/chicken/Vietnam/HU14-LB11/2021
EPI_ISL_1180234,2021.0630136986301,Europe,A/mute_swan/Czech_Republic/1656-1/2021
EPI_ISL_1184508,2021.1479452054793,Asia,A/chicken/Miyazaki/L10T/2021
EPI_ISL_1184509,2021.1479452054793,Asia,A/chicken/Miyazaki/L1T/2021
EPI_ISL_1184510,2021.1479452054793,Asia,A/chicken/Miyazaki/L4T/2021
EPI_ISL_1184511,2021.1479452054793,Asia,A/chicken/Miyazaki/L9T/2021
EPI_ISL_1184517,2021.1479452054793,Asia,A/eastern_buzzard/Toyama/160208C/2021
EPI_ISL_1184518,2021.1479452054793,Asia,A/eastern_buzzard/Toyama/160208T/2021
EPI_ISL_1185026,2020.931693989071,Europe,A/chicken/Astrakhan/2171-1/2020
EPI_ISL_1191587,2021.0575342465754,Europe,A/chicken/Czech_Republic/1566-2/2021
EPI_ISL_12176838,2021.7424657534248,Europe,A/chicken/Kosovo/278_22VIR3124-1/2021
EPI_ISL_12176839,2021.7561643835616,Europe,A/chicken/Kosovo/279_22VIR3124-2/2021
EPI_ISL_12176840,2021.7589041095891,Europe,A/chicken/Kosovo/280_22VIR3124-3/2021
EPI_ISL_12176841,2021.7643835616439,Europe,A/chicken/Kosovo/283_22VIR3124-4/2021
EPI_ISL_12176843,2021.7753424657535,Europe,A/chicken/Kosovo/284_22VIR3124-5/2021
EPI_ISL_12176844,2021.7945205479452,Europe,A/common_quail/Kosovo/288_22VIR3124-6/2021
EPI_ISL_12176845,2021.8027397260273,Europe,A/chicken/Kosovo/290_22VIR3124-7/2021
EPI_ISL_12176846,2021.8383561643836,Europe,A/chicken/Kosovo/299_22VIR3124-8/2021
EPI_ISL_12176847,2021.8438356164384,Europe,A/chicken/Kosovo/302_22VIR3124-9/2021
EPI_ISL_12176848,2021.8438356164384,Europe,A/chicken/Kosovo/303_22VIR3124-10/2021
EPI_ISL_12176850,2022.013698630137,Europe,A/chicken/Kosovo/22-2_22VIR3124-13/2022
EPI_ISL_12176851,2022.035616438356,Europe,A/chicken/Kosovo/22-8_22VIR3124-14/2022
EPI_ISL_12176852,2022.0493150684931,Europe,A/chicken/Kosovo/22-9_22VIR3124-15/2022
EPI_ISL_12176853,2021.4493150684932,Europe,A/chicken/Kosovo/126_22VIR3124-18/2021
EPI_ISL_12176854,2022.123287671233,Europe,A/chicken/Kosovo/22-50_22VIR3124-19/2022
EPI_ISL_12176855,2022.1616438356164,Europe,A/chicken/Kosovo/22-59_22VIR3124-20/2022
EPI_ISL_12176931,2022.0493150684931,Europe,A/turkey/Kosovo/13-2_22VIR3124-31/2022
EPI_ISL_12176932,2022.1616438356164,Europe,A/chicken/Albania/D381-22_22VIR3125-1/2022
EPI_ISL_1220094,2020.9371584699454,Europe,A/tundra_bean_goose/Poland/MB132/2020
EPI_ISL_1224942,2021.0849315068492,Europe,A/peacock/Netherlands/21022591-002/2021
EPI_ISL_1224949,2021.0931506849315,Europe,A/mute_swan/Netherlands/21022898-002/2021
EPI_ISL_1235689,2021.158904109589,Europe,A/Chicken/Sweden/SVA210301SZ0001/KN049780-IP10/2021
EPI_ISL_1236901,2021.1561643835616,Europe,A/goose/Sweden/SVA210301SZ0005/KN049802-IP11/2021
EPI_ISL_1238902,2021.145205479452,Europe,A/common_pheasant/Sweden/SVA210224SZ0005/KN000542-IP8/2021
EPI_ISL_1239109,2021.1479452054793,Europe,A/northern_goshawk/Sweden/SVA210224SZ0431/KN000626/2021
EPI_ISL_1239110,2021.1424657534246,Europe,A/northern_goshawk/Sweden/SVA210224SZ0479/KN000627/2021
EPI_ISL_1240677,2021.13698630137,Europe,A/common_buzzard_/Sweden/SVA210224SZ0485/KN000628/2021
EPI_ISL_1240717,2021.1397260273973,Europe,A/northern_goshawk/Sweden/SVA210225SZ0302/KN000664/2021
EPI_ISL_1240718,2021.0328767123287,Europe,A/barnacle_goose/Sweden/SVA210225SZ0307/KN000666/2021
EPI_ISL_1240997,2021.1671232876713,Asia,A/eastern_buzzard/Tochigi/090311C/2021
EPI_ISL_1240998,2020.6584699453551,Europe,A/mallard/Novosibirsk_region/3509k/2020
EPI_ISL_1241004,2021.1260273972603,Asia,A/owl/Tochigi/090204T/2021
EPI_ISL_12436968,2021.2082191780821,Europe,A/duck/Czech_Republic/5361/2021
EPI_ISL_12437699,2021.2109589041097,Europe,A/duck/Czech_Republic/5467/2021
EPI_ISL_12437700,2021.2301369863014,Europe,A/duck/Czech_Republic/6017/2021
EPI_ISL_1273409,2021.0958904109589,Asia,A/chicken/Chiba/F3T/2021
EPI_ISL_1273410,2020.896174863388,Asia,A/chicken/Fukuoka/C1/2020
EPI_ISL_1273411,2020.896174863388,Asia,A/chicken/Fukuoka/C2/2020
EPI_ISL_1273412,2020.8989071038252,Asia,A/chicken/Hyogo/3T/2020
EPI_ISL_1273413,2020.8989071038252,Asia,A/chicken/Hyogo/4T/2020
EPI_ISL_1273414,2021.0849315068492,Asia,A/chicken/Ibaraki/1T/2021
EPI_ISL_1273415,2021.0849315068492,Asia,A/chicken/Ibaraki/2T/2021
EPI_ISL_1273416,2020.8415300546449,Asia,A/chicken/Kagawa/10T/2020
EPI_ISL_1273417,2020.8415300546449,Asia,A/chicken/Kagawa/2T/2020
EPI_ISL_1273418,2020.8415300546449,Asia,A/chicken/Kagawa/6T/2020
EPI_ISL_1273419,2020.8415300546449,Asia,A/chicken/Kagawa/7T/2020
EPI_ISL_1273420,2020.8497267759562,Asia,A/chicken/Kagawa/B7T/2020
EPI_ISL_1273421,2020.8497267759562,Asia,A/chicken/Kagawa/B9T/2020
EPI_ISL_1273422,2020.8579234972678,Asia,A/chicken/Kagawa/C1T/2020
EPI_ISL_1273423,2020.8579234972678,Asia,A/chicken/Kagawa/C2T/2020
EPI_ISL_1273424,2020.863387978142,Asia,A/chicken/Kagawa/D1T/2020
EPI_ISL_1273425,2020.863387978142,Asia,A/chicken/Kagawa/D2T/2020
EPI_ISL_1273426,2020.863387978142,Asia,A/chicken/Kagawa/D3T/2020
EPI_ISL_1273427,2020.8688524590164,Asia,A/chicken/Kagawa/E4T/2020
EPI_ISL_1273428,2020.8688524590164,Asia,A/chicken/Kagawa/E5T/2020
EPI_ISL_1273429,2020.8825136612022,Asia,A/chicken/Kagawa/F3T/2020
EPI_ISL_1273430,2020.8825136612022,Asia,A/chicken/Kagawa/F4T/2020
